employee_id,department,team,experience_level
EMP_0161,Processing,Team B,Mid
EMP_0162,Packaging,Team E,Mid
EMP_0163,Processing,Team A,Mid
EMP_0164,Processing,Team B,Junior
EMP_0165,Dispatch,Team C,Mid
EMP_0166,Quality,Team D,Junior
EMP_0167,Packaging,Team E,Mid
EMP_0168,Dispatch,Team B,Junior
EMP_0169,Dispatch,Team D,Mid
EMP_0170,Dispatch,Team D,Junior
EMP_0171,Quality,Team B,Mid
EMP_0172,Processing,Team A,Mid
EMP_0173,Processing,Team A,Junior
EMP_0174,Quality,Team E,Mid
EMP_0175,Processing,Team A,Mid
EMP_0176,Quality,Team E,Mid
EMP_0177,Packaging,Team C,Mid
EMP_0178,Dispatch,Team B,Mid
EMP_0179,Packaging,Team D,Mid
EMP_0180,Packaging,Team E,Mid
EMP_0181,Processing,Team A,Mid
EMP_0182,Processing,Team E,Mid
EMP_0183,Processing,Team E,Junior
EMP_0184,Packaging,Team A,Junior
EMP_0185,Processing,Team A,Junior
EMP_0186,Packaging,Team B,Junior
EMP_0187,Quality,Team D,Mid
EMP_0188,Processing,Team B,Mid
EMP_0189,Processing,Team B,Junior
EMP_0190,Quality,Team A,Senior
EMP_0191,Quality,Team A,Mid
EMP_0192,Packaging,Team D,Senior
EMP_0193,Packaging,Team E,Mid
EMP_0194,Quality,Team B,Mid
EMP_0195,Dispatch,Team D,Junior
EMP_0196,Quality,Team B,Junior
EMP_0197,Dispatch,Team E,Junior
EMP_0198,Processing,Team B,Mid
EMP_0199,Packaging,Team C,Junior
EMP_0200,Processing,Team D,Mid
EMP_0201,Processing,Team A,Junior
EMP_0202,Processing,Team B,Senior
EMP_0203,Quality,Team D,Junior
EMP_0204,Processing,Team D,Junior
EMP_0205,Processing,Team B,Junior
EMP_0206,Dispatch,Team A,Mid
EMP_0207,Dispatch,Team A,Junior
EMP_0208,Packaging,Team B,Mid
EMP_0209,Packaging,Team D,Junior
EMP_0210,Dispatch,Team A,Mid
EMP_0211,Quality,Team B,Senior
EMP_0212,Processing,Team B,Junior
EMP_0213,Dispatch,Team B,Senior
EMP_0214,Packaging,Team D,Senior
EMP_0215,Quality,Team A,Junior
EMP_0216,Quality,Team D,Junior
EMP_0217,Quality,Team C,Mid
EMP_0218,Dispatch,Team A,Mid
EMP_0219,Processing,Team D,Mid
EMP_0220,Dispatch,Team A,Mid
EMP_0221,Dispatch,Team C,Mid
EMP_0222,Packaging,Team E,Junior
EMP_0223,Quality,Team B,Senior
EMP_0224,Processing,Team D,Mid
EMP_0225,Processing,Team C,Mid
EMP_0226,Processing,Team C,Senior
EMP_0227,Packaging,Team A,Mid
EMP_0228,Quality,Team A,Junior
EMP_0229,Processing,Team B,Mid
EMP_0230,Processing,Team A,Mid
EMP_0231,Dispatch,Team D,Junior
EMP_0232,Processing,Team D,Senior
EMP_0233,Dispatch,Team D,Junior
EMP_0234,Processing,Team E,Mid
EMP_0235,Quality,Team D,Mid
EMP_0236,Processing,Team A,Junior
EMP_0237,Quality,Team A,Senior
EMP_0238,Packaging,Team D,Senior
EMP_0239,Processing,Team C,Mid
EMP_0240,Quality,Team C,Junior
EMP_0241,Packaging,Team C,Junior
EMP_0242,Packaging,Team B,Mid
EMP_0243,Packaging,Team E,Junior
EMP_0244,Processing,Team D,Mid
EMP_0245,Quality,Team B,Senior
EMP_0246,Dispatch,Team C,Mid
EMP_0247,Dispatch,Team D,Senior
EMP_0248,Dispatch,Team B,Mid
EMP_0249,Processing,Team A,Mid
EMP_0250,Packaging,Team C,Senior
EMP_0251,Packaging,Team B,Mid
EMP_0252,Processing,Team A,Senior
EMP_0253,Dispatch,Team C,Junior
EMP_0254,Packaging,Team E,Junior
EMP_0255,Processing,Team C,Senior
EMP_0256,Processing,Team E,Mid
EMP_0257,Dispatch,Team E,Senior
EMP_0258,Processing,Team E,Senior
EMP_0259,Processing,Team D,Junior
EMP_0260,Quality,Team D,Mid
EMP_0261,Processing,Team E,Mid
EMP_0262,Dispatch,Team A,Mid
EMP_0263,Quality,Team E,Mid
EMP_0264,Quality,Team B,Junior
EMP_0265,Dispatch,Team E,Mid
EMP_0266,Quality,Team D,Mid
EMP_0267,Processing,Team D,Junior
EMP_0268,Packaging,Team B,Senior
EMP_0269,Quality,Team B,Mid
EMP_0270,Processing,Team C,Senior
EMP_0271,Packaging,Team A,Junior
EMP_0272,Dispatch,Team A,Junior
EMP_0273,Packaging,Team A,Mid
EMP_0274,Dispatch,Team D,Junior
EMP_0275,Packaging,Team A,Senior
EMP_0276,Packaging,Team C,Junior
EMP_0277,Dispatch,Team C,Mid
EMP_0278,Processing,Team A,Mid
EMP_0279,Processing,Team B,Mid
EMP_0280,Packaging,Team C,Junior
EMP_0281,Quality,Team B,Mid
EMP_0282,Processing,Team D,Mid
EMP_0283,Processing,Team C,Junior
EMP_0284,Processing,Team B,Senior
EMP_0285,Quality,Team A,Junior
EMP_0286,Dispatch,Team D,Mid
EMP_0287,Dispatch,Team E,Mid
EMP_0288,Packaging,Team E,Junior
EMP_0289,Dispatch,Team A,Senior
EMP_0290,Quality,Team D,Mid
EMP_0291,Processing,Team D,Junior
EMP_0292,Processing,Team D,Mid
EMP_0293,Packaging,Team D,Mid
EMP_0294,Processing,Team E,Mid
EMP_0295,Quality,Team B,Mid
EMP_0296,Packaging,Team D,Junior
EMP_0297,Quality,Team B,Junior
EMP_0298,Dispatch,Team D,Senior
EMP_0299,Packaging,Team C,Junior
EMP_0300,Processing,Team C,Senior
EMP_0301,Quality,Team C,Junior
EMP_0302,Packaging,Team D,Senior
EMP_0303,Processing,Team B,Mid
EMP_0304,Processing,Team E,Mid
EMP_0305,Quality,Team A,Junior
EMP_0306,Dispatch,Team E,Junior
EMP_0307,Quality,Team D,Junior
EMP_0308,Dispatch,Team C,Junior
EMP_0309,Dispatch,Team C,Junior
EMP_0310,Processing,Team B,Mid
EMP_0311,Packaging,Team D,Mid
EMP_0312,Quality,Team E,Mid
EMP_0313,Processing,Team D,Mid
EMP_0314,Packaging,Team D,Mid
EMP_0315,Packaging,Team C,Mid
EMP_0316,Processing,Team E,Mid
EMP_0317,Dispatch,Team A,Mid
EMP_0318,Packaging,Team C,Senior
EMP_0319,Dispatch,Team E,Junior
EMP_0320,Processing,Team B,Junior
EMP_0321,Dispatch,Team C,Mid
EMP_0322,Processing,Team B,Junior
EMP_0323,Processing,Team C,Senior
EMP_0324,Packaging,Team D,Senior
EMP_0325,Packaging,Team E,Junior
EMP_0326,Quality,Team B,Junior
EMP_0327,Quality,Team C,Mid
EMP_0328,Processing,Team B,Mid
EMP_0329,Packaging,Team C,Junior
EMP_0330,Quality,Team C,Mid
EMP_0331,Quality,Team A,Mid
EMP_0332,Quality,Team A,Junior
EMP_0333,Dispatch,Team A,Junior
EMP_0334,Packaging,Team B,Mid
EMP_0335,Packaging,Team D,Junior
EMP_0336,Dispatch,Team C,Senior
EMP_0337,Quality,Team E,Mid
EMP_0338,Processing,Team A,Mid
EMP_0339,Processing,Team B,Senior
EMP_0340,Packaging,Team B,Senior
EMP_0341,Processing,Team B,Mid
EMP_0342,Quality,Team E,Junior
EMP_0343,Processing,Team E,Mid
EMP_0344,Processing,Team A,Mid
EMP_0345,Quality,Team E,Junior
EMP_0346,Dispatch,Team A,Senior
EMP_0347,Packaging,Team E,Junior
EMP_0348,Dispatch,Team E,Junior
EMP_0349,Dispatch,Team E,Junior
EMP_0350,Processing,Team A,Mid
EMP_0351,Processing,Team C,Mid
EMP_0352,Packaging,Team A,Junior
EMP_0353,Dispatch,Team C,Junior
EMP_0354,Quality,Team B,Junior
EMP_0355,Dispatch,Team B,Mid
EMP_0356,Processing,Team A,Junior
EMP_0357,Processing,Team C,Senior
EMP_0358,Packaging,Team C,Junior
EMP_0359,Quality,Team C,Senior
EMP_0360,Processing,Team B,Junior
EMP_0361,Processing,Team A,Mid
EMP_0362,Processing,Team D,Junior
EMP_0363,Packaging,Team C,Junior
EMP_0364,Dispatch,Team C,Senior
EMP_0365,Dispatch,Team D,Senior
EMP_0366,Packaging,Team A,Mid
EMP_0367,Quality,Team C,Mid
EMP_0368,Quality,Team A,Mid
EMP_0369,Processing,Team C,Senior
EMP_0370,Processing,Team E,Junior
EMP_0371,Processing,Team C,Mid
EMP_0372,Dispatch,Team E,Mid
EMP_0373,Dispatch,Team A,Mid
EMP_0374,Quality,Team C,Senior
EMP_0375,Packaging,Team B,Junior
EMP_0376,Processing,Team B,Junior
EMP_0377,Packaging,Team D,Mid
EMP_0378,Packaging,Team B,Mid
EMP_0379,Quality,Team E,Junior
EMP_0380,Processing,Team B,Mid
EMP_0381,Dispatch,Team B,Senior
EMP_0382,Packaging,Team B,Junior
EMP_0383,Dispatch,Team C,Mid
EMP_0384,Dispatch,Team D,Mid
EMP_0385,Dispatch,Team A,Mid
EMP_0386,Processing,Team D,Senior
EMP_0387,Processing,Team E,Mid
EMP_0388,Processing,Team C,Mid
EMP_0389,Processing,Team C,Mid
EMP_0390,Quality,Team B,Mid
EMP_0391,Packaging,Team B,Mid
EMP_0392,Quality,Team E,Senior
EMP_0393,Processing,Team C,Mid
EMP_0394,Dispatch,Team A,Junior
EMP_0395,Processing,Team D,Junior
EMP_0396,Processing,Team C,Junior
EMP_0397,Packaging,Team A,Junior
EMP_0398,Packaging,Team A,Senior
EMP_0399,Quality,Team D,Mid
EMP_0400,Processing,Team A,Mid
EMP_0401,Packaging,Team E,Mid
EMP_0402,Processing,Team A,Senior
EMP_0403,Processing,Team E,Mid
EMP_0404,Packaging,Team A,Senior
EMP_0405,Processing,Team B,Mid
EMP_0406,Processing,Team A,Senior
EMP_0407,Quality,Team E,Mid
EMP_0408,Dispatch,Team A,Junior
EMP_0409,Dispatch,Team A,Mid
EMP_0410,Quality,Team A,Mid
EMP_0411,Processing,Team E,Junior
EMP_0412,Processing,Team A,Mid
EMP_0413,Processing,Team D,Junior
EMP_0414,Quality,Team D,Junior
EMP_0415,Packaging,Team E,Senior
EMP_0416,Quality,Team B,Mid
EMP_0417,Quality,Team D,Senior
EMP_0418,Processing,Team C,Mid
EMP_0419,Quality,Team D,Mid
EMP_0420,Processing,Team C,Mid
EMP_0421,Quality,Team E,Mid
EMP_0422,Packaging,Team B,Senior
EMP_0423,Packaging,Team C,Junior
EMP_0424,Quality,Team C,Senior
EMP_0425,Quality,Team D,Senior
EMP_0426,Processing,Team C,Mid
EMP_0427,Processing,Team E,Senior
EMP_0428,Packaging,Team E,Mid
EMP_0429,Processing,Team E,Senior
EMP_0430,Packaging,Team D,Mid
EMP_0431,Packaging,Team B,Junior
EMP_0432,Dispatch,Team D,Senior
EMP_0433,Dispatch,Team E,Mid
EMP_0434,Processing,Team D,Mid
EMP_0435,Dispatch,Team E,Mid
EMP_0436,Packaging,Team A,Junior
EMP_0437,Packaging,Team A,Mid
EMP_0438,Processing,Team C,Senior
EMP_0439,Dispatch,Team B,Junior
EMP_0440,Processing,Team A,Junior
EMP_0441,Dispatch,Team E,Junior
EMP_0442,Processing,Team D,Mid
EMP_0443,Packaging,Team D,Mid
EMP_0444,Quality,Team C,Mid
EMP_0445,Processing,Team D,Senior
EMP_0446,Processing,Team A,Mid
EMP_0447,Quality,Team D,Junior
EMP_0448,Processing,Team A,Senior
EMP_0449,Quality,Team A,Mid
EMP_0450,Packaging,Team B,Mid
EMP_0451,Dispatch,Team C,Mid
EMP_0452,Packaging,Team E,Senior
EMP_0453,Processing,Team A,Mid
EMP_0454,Processing,Team C,Mid
EMP_0455,Processing,Team E,Mid
EMP_0456,Dispatch,Team D,Junior
EMP_0457,Dispatch,Team C,Mid
EMP_0458,Processing,Team C,Mid
EMP_0459,Processing,Team C,Junior
EMP_0460,Dispatch,Team D,Junior
EMP_0461,Dispatch,Team D,Junior
EMP_0462,Dispatch,Team C,Mid
EMP_0463,Dispatch,Team B,Senior
EMP_0464,Quality,Team A,Senior
EMP_0465,Processing,Team D,Junior
EMP_0466,Quality,Team B,Mid
EMP_0467,Quality,Team D,Senior
EMP_0468,Quality,Team C,Junior
EMP_0469,Quality,Team B,Mid
EMP_0470,Processing,Team E,Mid
EMP_0471,Processing,Team A,Junior
EMP_0472,Quality,Team A,Senior
EMP_0473,Processing,Team D,Senior
EMP_0474,Quality,Team A,Junior
EMP_0475,Dispatch,Team E,Junior
EMP_0476,Dispatch,Team B,Junior
EMP_0477,Quality,Team B,Junior
EMP_0478,Quality,Team C,Mid
EMP_0479,Processing,Team B,Mid
EMP_0480,Packaging,Team D,Junior
EMP_0481,Quality,Team E,Senior
EMP_0482,Quality,Team C,Mid
EMP_0483,Dispatch,Team D,Junior
EMP_0484,Quality,Team D,Junior
EMP_0485,Processing,Team D,Mid
EMP_0486,Processing,Team A,Mid
EMP_0487,Quality,Team D,Junior
EMP_0488,Quality,Team A,Junior
EMP_0489,Dispatch,Team B,Senior
EMP_0490,Quality,Team A,Senior
EMP_0491,Packaging,Team D,Junior
EMP_0492,Quality,Team E,Mid
EMP_0493,Quality,Team E,Mid
EMP_0494,Quality,Team B,Mid
EMP_0495,Quality,Team D,Mid
EMP_0496,Quality,Team A,Senior
EMP_0497,Processing,Team E,Mid
EMP_0498,Dispatch,Team C,Mid
EMP_0499,Processing,Team D,Mid
EMP_0500,Processing,Team D,Senior
